,단어명,물리명,영문명,금칙어
0,0,0,ZERO,
1,0년도,YEAR0,0 YEAR,
2,0년차,ORDYR0,ZERO ORDER BY YEAR,
3,1,1,ONE,
4,10,10,TEN,
5,100,100,HUNDRED,
6,1000,1000,THOUSAND,
7,105밀리미터,MM105,105 MILLIMETER,
8,106밀리미터,MM106,106 MILLIMETER,
9,10급,CLS10,TENTH CLASS,
10,10년,YY10,10 YEAR,
11,10단계,STP10,TENTH STEP,
12,10분기,QTR10,TENTH QUARTER,
13,10사람,HUMN10,10 HUMAN,
14,10월,OCT,OCTOBER,OCT
15,10종보급품,CS10,CLASS 10 SUPPLIES,"10종,10품종"
16,10차,TETH,TENTH,
17,10평,PYNG10,10 PYEONG,
18,11,11,ELEVEN,
19,11단계,STP11,ELEVENTH STEP,
20,11분기,QTR11,ELEVENTH QUARTER,
21,11사람,HUMN11,11 HUMAN,
22,11월,NOV,NOVEMBER,NOV
23,11차,ELTH,ELEVENTH,
24,11평,PYNG11,11 PYEONG,
25,12,12,TWELVE,
26,12단계,STP12,TWELFTH STEP,
27,12분기,QTR12,TWELFTH QUARTER,
28,12세,YRS12,12 YEARS,
29,12시간,TIME12,12 TIME,
30,12월,DEC,DECEMBER,DEC
31,13,13,THIRTEEN,
32,130밀리미터,MM130,130 MILLIMETER,
33,13단계,STP13,THIRTEENTH STEP,
34,13분기,QTR13,THIRTEENTH QUARTER,
35,13품종,13PD,13 PRODUCT CATEGORY,
36,14,14,FOURTEEN,
37,14단계,STP14,FOURTEENTH STEP,
38,14분기,QTR14,FOURTEENTH QUARTER,
39,15,15,FIFTEEN,
40,1500미터달리기,RUN1500,1500 METER RUN,"1500M달리기,달리기1500,달리기1500M,달리기1500미터"
41,154킬로볼트,KV154,154 KILOVOLT,
42,155밀리미터,MM155,155 MILLIMETER,
43,15단계,STP15,FIFTEENTH STEP,
44,15분기,QTR15,FIFTEENTH QUARTER,
45,15평,PYNG15,15 PYEONG,
46,16,16,SIXTEEN,
47,16단계,STP16,SIXTEENTH STEP,
48,16분기,QTR16,SIXTEENTH QUARTER,
49,16평,PYNG16,16 PYEONG,
50,17,17,SEVENTEEN,
51,175밀리미터,MM175,175 MILLIMETER,
52,17단계,STP17,SEVENTEENTH STEP,
53,17분기,QTR17,SEVENTEENTH QUARTER,
54,18,18,EIGHTEEN,
55,18분기,QTR18,EIGHTEENTH QUARTER,
56,18품목분류,18PD,18 PRODUCT TYPE,
57,19,19,NINETEEN,
58,19분기,QTR19,NINETEENTH,
59,1군,FROKAR,THE FIRST REPUBLIC OF KOREA ARMY AREA,
60,1군수지원사령부,LSCMD1,1 LOGISTICS SUPPORT COMMAND,
61,1급,CLS1,FIRST CLASS,
62,1년,YY1,1 YEAR,
63,1년도,YEAR1,1 YEAR,
64,1년차,ORDYR1,FIRST ORDER BY YEAR,
65,1단계,STP1,FIRST STEP,
66,1등급,GRD1,FIRST GRADE,
67,1분기,QTR1,FIRST QUARTER OF A YEAR,"1/4분기,분기1"
68,1사람,HUMN1,1 HUMAN,
69,1시간,TIME1,1 TIME,
70,1월,JAN,JANUARY,JAN
71,1인,ONEPSN,ONE PERSONS,
72,1인당,PERPSN1,1 PER PERSON,
73,1종보급품,CS1,CLASS 1 SUPPLIES,1종
74,1주,WK1,FIRST WEEK,
