NO,공통표준단어명,공통표준단어영문약어명,공통표준단어영문명,공통표준단어설명,이음동의어목록,금칙어목록
1,가입,JOIN,Join,"加入. 조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함",,
2,개설,ESTBL,Establishment,開設. 설비나 제도 따위를 새로 마련하고 그에 관한 일을 시작함,,
3,개시,STRT,Start,開始. 행동이나 일 따위를 시작함 ,,
4,개업,OPBIZ,Opening of Business,開業 . 영업을 처음 시작함,,
5,개인정보,PRVC,Privacy,"個人情報. 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아볼 수 있는 정보(해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 것을 포함한다)",,
6,개정,RVSN,Revision,改正. 주로 문서의 내용 따위를 고쳐 바르게 함,,
7,갱신,UPDT,Update,更新. 이미 있던것을 고쳐 새롭게 함,,
8,거래,DLNG,Dealings,去來. 주고 받음 또는 사고 팖,,
9,검사,INSP,Inspection,檢査. 사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일,,
10,검증,VRFC,Verification,檢證. 어떤  대상의 성질이나 상태 따위를 인식하여 조사하는 일,,
11,검토,RVW,Review,檢討. 어떤 사실이나 내용을 분석하여 따짐,,
12,게시,PSTG,Posting,揭示. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 함. 또는 그런 물건,,
13,결재,ATRZ,Authorization,決裁. 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함,,
14,결정,DCSN,Decision,決定. 행동이나 태도를 분명하게 정함. 또는 그렇게 정해진 내용,,
15,결제,STLM,Settlement,決濟. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일,,
16,계약,CTRT,Contract,契約. 관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무에 대하여 글이나 말로 정하여 둠. 또는 그런 약속,,
17,계획,PLAN,Plan,"計劃/計畫. 앞으로 할 일의 절차, 방법, 규모 따위를 미리 헤아려 작정함. 또는 그 내용",,
18,고시,ANCMNT,Announcement,告示. 글로 써서 게시하여 널리 알림. 주로 행정 기관에서 일반 국민들을 대상으로 어떤 내용을 알리는 경우를 이름,,
19,고지,INFRM,Inform,告知. 게시나 글을 통하여 알림,,
20,공개,RLS,Release,"公開. 어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓음",,
21,공고,PBANC,Public  Announcement,"公告. 국가 기관이나 공공 단체에서 일정한 사항을 일반 대중에게 광고, 게시, 또는 다른 공개적 방법으로 널리 알림",,
22,공사,CSTRN,Construction ,工事. 토목이나 건축 따위의 일,,
23,공지,NTC,Notice,公知. 세상에 널리 알림,,
24,관리,MNG,Management,"管理. 어떤 일의 사무를 맡아 처리하거나 시설이나 물건의 유지, 개량 따위의 일을 맡아 함",,
25,관리자,MNGR,Manager,"管理者. 소유자로부터  위탁을 받아 시설을 관리하는 자, 사법상(私法上) 타인의 재산을 관리하는 사람",,
26,교부,DTBN,Distribution,"交付/交附. 내어 줌, 물건을 인도하는 일",,
27,교육,EDU,Education,敎育. 지식과 기술 따위를 가르치며 인격을 길러 줌,,
28,구매,PRCHS,Purchase,購買. 물건 따위를 사들 임,"구입, 매입",
29,근무,WORK,Work,勤務. 직장에 적을 두고 직무에 종사함,,
30,기준,CRTR,Criteria,基準. 기본이 되는 표준,,
31,기타,ETC,Etc,其他. 그 밖의 또 다른 것,,
32,기한,TERM,Term,"期限. 미리 한정하여 놓은 시기로 법률 행위의 효력의 발생 및 소멸, 채무 이행을 장래에 발생할 것이 확실한 사실에 의존시키는 일",,
33,긴급,EMRG,Emergency,緊急. 긴요하고 급함,,
34,납부,PAY,Payment,納付/納附. 세금이나 공과금 따위를 관계기관에 냄,,
35,노출,EXPSR,Exposure,露出. 겉으로 드러나거나 드러냄,,
36,답변,ANS,Answer,答辯. 물음에 대하여 밝혀 대답함. 또는 그런 대답,,
37,대상,TRGT,Target,對象. 어떤 일의 상대 또는 목표나 목적이 되는 것,,
38,대표,RPRS,Representation,代表. 전체의 상태나 성질을 어느 하나로 잘 나타냄. 또는 그런 것,,
39,대표자,RPRSV,Representative,代表者. 전체를 대표하는 사람,,
40,댓글,CMNT,Comment,對글. 인터넷에 오른 원문에 대하여 짤막하게 답하여 올리는 글,,
41,동의,AGRE,Agreement,同議. 같은 의견이나 논의,,
42,등록,REG,Registration,登錄. 일정한 자격 조건을 갖추기 위하여 단체나 기관에 문서를 올리거나 법정(法定)의 공부(公簿)에 기재하는 일,,
43,로그인,LGN,Login,다중 사용자 시스템을 사용하기 위하여 컴퓨터에 사용자임을 알리는 일. 미리 등록되어 있는 사용자의 특정한 이름과 암호의 입력을 통하여서만 작업을 할 수 있는 특정한 시스템 사용 환경에서 씀,,
44,마감,DDLN,Deadline,"하던 일을 마물러서 끝냄. 또는 그런 때, 정해진 기한의 끝",,
45,만기,MTRY,Maturity,晩期. 정해진 기간이나 일의 끝이 되는 때나 시기,,
46,말소,ERSR,Erasure,抹消. 기록되어 있는 사실 따위를 지워서 아주 없애 버림,,
47,민원,CVLCPT,Civil Complaint,民願. 주민이 행정 기관에 대하여 원하는 바를 요구하는 일,,
48,반납,RTN,Return,返納. 도로 바침. 또는 도로 돌려줌,,
49,반려,RJCT,Reject,返戾. 주로 윗사람이나 상급 기관에 제출한 문서를 처리하지 않고 되돌려줌,,
50,반송,SNDBK,Send Back,返送. 도로 돌려보냄,,
51,반영,RFLT,Reflection,反映. 다른 것에 영향을 받아 어떤 현상이 나타남. 또는 어떤 현상을 나타냄,,
52,발급,ISSU,Issue,發給. 증명서 따위를 발행하여 줌,,
53,발생,OCRN,Occurrence,發生. 어떤 일이나 사물이 생겨남,,
54,발송,SNDNG,Sending,"發送. 물건, 편지, 서류 따위를 우편이나 운송 수단을 이용하여 보냄",,
55,발행,PBLCN,Publication,發行. 출판물이나 인쇄물을 찍어서 세상에 펴냄,,
56,방문,VST,Visit,訪問. 어떤 사람이나 장소를 찾아가서 만나거나 봄,,
57,법인등록번호,CRNO,Corporation Registration Number,法人登錄番號. 법인의 부동산등기용 등록번호로 법인의 설립등기(외국법인의 경우에는 국내에서 최초로 하는 영업소 또는 사무소설치의 등기를 말한다)를 하는 때에 이를 부여,,
58,변경,CHG,Change,變更. 다르게 바꾸어 새롭게 고침,,
59,변동,FLCTN,Fluctuation,變動. 바뀌어 달라짐,,
60,보고,RPT,Report,"報告. 일에 관한 내용이나 결과를 말이나 글로 알림, 보고하는 글이나 문서",,
61,사고,ACDNT,Accident,事故. 뜻밖에 일어난 불행한 일. 사람에게 해를 입혔거나 말썽을 일으킨 나쁜 짓. 어떤 일이 일어난 까닭,,
62,사망,DTH,Death,死亡. 사람이 죽거나 생명을 잃음,,
63,사업,BIZ,Business,事業. 어떤 일을 일정한 목적과 계획을 가지고 짜임새 있게 지속적으로 경영함. 또는 그 일,,
64,사용,USE,Use,使用. 일정한 목적이나 기능에 맞게 씀,,
65,삭제,DEL,Deletion,削除. 깎아 없애거나 지워 버림. 파일 내에 저장된 기록을 제거하거나 기억 장치에서 프로그램을 지우는 일,,
66,상담,DSCSN,Discussion,相談. 문제를 해결하거나 궁금증을 풀기 위하여 서로 의논함,,
67,생년월일,BRDT,Birth Date,生年月日. 태어난 해와 달과 날,,
68,생성,CRT,Creation,生成. 사물이 생겨남. 또는 사물이 생겨 이루어지게 함. 이전에 없었던 어떤 사물이나 성질의 새로운 출현,,
69,선정,SLCTN,Selection,選定. 여럿 가운데서 어떤 것을 뽑아 정함,,
70,선택,CHC,Choice,"選擇. 여럿 가운데서 필요한 것을 골라 뽑음. 문제를 해결하기 위한 몇 가지 수단을 의식하고, 그 가운데서 어느 것을 골라내는 작용",,
