단어 명,물리 명,영문 명,금칙어
0,0,ZERO,
0년도,YEAR0,0 YEAR,
0년차,ORDYR0,ZERO ORDER BY YEAR,
1,1,ONE,
10,10,TEN,
100,100,HUNDRED,
1000,1000,THOUSAND,
105밀리미터,MM105,105 MILLIMETER,
106밀리미터,MM106,106 MILLIMETER,
10급,CLS10,TENTH CLASS,
10년,YY10,10 YEAR,
10단계,STP10,TENTH STEP,
10분기,QTR10,TENTH QUARTER,
10사람,HUMN10,10 HUMAN,
10월,OCT,OCTOBER,OCT
10종보급품,CS10,CLASS 10 SUPPLIES,"10종,10품종"
10차,TETH,TENTH,
10평,PYNG10,10 PYEONG,
11,11,ELEVEN,
11단계,STP11,ELEVENTH STEP,
11분기,QTR11,ELEVENTH QUARTER,
11사람,HUMN11,11 HUMAN,
11월,NOV,NOVEMBER,NOV
11차,ELTH,ELEVENTH,
11평,PYNG11,11 PYEONG,
12,12,TWELVE,
12단계,STP12,TWELFTH STEP,
12분기,QTR12,TWELFTH QUARTER,
12세,YRS12,12 YEARS,
12시간,TIME12,12 TIME,
12월,DEC,DECEMBER,DEC
13,13,THIRTEEN,
130밀리미터,MM130,130 MILLIMETER,
13단계,STP13,THIRTEENTH STEP,
13분기,QTR13,THIRTEENTH QUARTER,
13품종,13PD,13 PRODUCT CATEGORY,
14,14,FOURTEEN,
14단계,STP14,FOURTEENTH STEP,
14분기,QTR14,FOURTEENTH QUARTER,
15,15,FIFTEEN,
1500미터달리기,RUN1500,1500 METER RUN,"1500M달리기,달리기1500,달리기1500M,달리기1500미터"
154킬로볼트,KV154,154 KILOVOLT,
155밀리미터,MM155,155 MILLIMETER,
15단계,STP15,FIFTEENTH STEP,
15분기,QTR15,FIFTEENTH QUARTER,
15평,PYNG15,15 PYEONG,
16,16,SIXTEEN,
16단계,STP16,SIXTEENTH STEP,
16분기,QTR16,SIXTEENTH QUARTER,
16평,PYNG16,16 PYEONG,
17,17,SEVENTEEN,
175밀리미터,MM175,175 MILLIMETER,
17단계,STP17,SEVENTEENTH STEP,
17분기,QTR17,SEVENTEENTH QUARTER,
18,18,EIGHTEEN,
18분기,QTR18,EIGHTEENTH QUARTER,
18품목분류,18PD,18 PRODUCT TYPE,
19,19,NINETEEN,
19분기,QTR19,NINETEENTH,
1군,FROKAR,THE FIRST REPUBLIC OF KOREA ARMY AREA,
1군수지원사령부,LSCMD1,1 LOGISTICS SUPPORT COMMAND,
1급,CLS1,FIRST CLASS,
1년,YY1,1 YEAR,
1년도,YEAR1,1 YEAR,
1년차,ORDYR1,FIRST ORDER BY YEAR,
1단계,STP1,FIRST STEP,
1등급,GRD1,FIRST GRADE,
1분기,QTR1,FIRST QUARTER OF A YEAR,"1/4분기,분기1"
1사람,HUMN1,1 HUMAN,
1시간,TIME1,1 TIME,
1월,JAN,JANUARY,JAN
1인,ONEPSN,ONE PERSONS,
1인당,PERPSN1,1 PER PERSON,
1종보급품,CS1,CLASS 1 SUPPLIES,1종
1주,WK1,FIRST WEEK,
1지대,ZONE1,1 ZONE,
1지망,FSTWISH,FIRST WISH,
1차,FST,FIRST,"첫번째,첫째,첫,일차"
1차평정자,FSTEVPSN,FIRST EVALUATION PERSON,
1층,FLR1,FIRST FLOOR,
1평,PYNG1,1 PYEONG,
1학기,SMSTR1,FIRST SEMESTER,
1회,ONCE,ONCE,일회
2,2,TWO,
2.5톤카고,TC25,2.5 TON CARGO,
20,20,TWENTY,
20분기,QTR20,TWENTIETH,
20세,YRS20,20 YEARS,
20인,TWENTYPSN,TWENTY PERSONS,
20평,PYNG20,20 PYEONG,
21,21,TWENTY-ONE,
22,22,TWENTY-TWO,
23,23,TWENTY-THREE,
24,24,TWENTY-FOUR,
24시간,TIME24,24 TIME,
25,25,TWENTY-FIVE,
2525C,MS2525C,MILITARY STANDARD 2525C,
2525C병종코드,MS2525CASPCD,MILSTD2525C ARMS SPECIALTIES CODE,
2525C부대규모코드,MS2525CUSCD,MILSTD2525C UNIT SCALE CODE,
2525C상태코드,MS2525CSACD,MILITARY STANDARD 2525C STATE CODE,
2525C전장코드,MS2525CBFCD,MILITARY STANDARD 2525C BATTLE FIELD CODE,
2525C전투임무코드,MS2525CCMSCD,MILITARY STANDARD 2525C COMBAT MISSION CODE,
